y=102, rel_y=0, left=432, right=591, width=160
y=709, rel_y=607, left=273, right=750, width=478
y=710, rel_y=608, left=273, right=750, width=478
y=711, rel_y=609, left=273, right=750, width=478
y=712, rel_y=610, left=273, right=751, width=479
y=713, rel_y=611, left=273, right=750, width=478
y=714, rel_y=612, left=273, right=750, width=478
y=715, rel_y=613, left=273, right=750, width=478
y=716, rel_y=614, left=273, right=750, width=478
y=717, rel_y=615, left=273, right=750, width=478
y=718, rel_y=616, left=273, right=750, width=478
y=719, rel_y=617, left=273, right=750, width=478
y=720, rel_y=618, left=273, right=750, width=478
y=721, rel_y=619, left=273, right=750, width=478
y=722, rel_y=620, left=273, right=750, width=478
y=723, rel_y=621, left=273, right=750, width=478
y=724, rel_y=622, left=273, right=751, width=479
y=725, rel_y=623, left=273, right=750, width=478
y=726, rel_y=624, left=273, right=751, width=479
y=727, rel_y=625, left=273, right=750, width=478
y=728, rel_y=626, left=273, right=750, width=478
y=729, rel_y=627, left=273, right=750, width=478
y=730, rel_y=628, left=273, right=751, width=479
y=731, rel_y=629, left=273, right=750, width=478
y=732, rel_y=630, left=273, right=750, width=478
y=733, rel_y=631, left=273, right=750, width=478
y=734, rel_y=632, left=273, right=750, width=478
y=735, rel_y=633, left=273, right=750, width=478
y=736, rel_y=634, left=273, right=750, width=478
y=737, rel_y=635, left=273, right=750, width=478
y=738, rel_y=636, left=295, right=728, width=434
y=739, rel_y=637, left=295, right=728, width=434
y=740, rel_y=638, left=295, right=728, width=434
y=741, rel_y=639, left=295, right=728, width=434
y=742, rel_y=640, left=295, right=728, width=434
y=743, rel_y=641, left=295, right=728, width=434
y=744, rel_y=642, left=295, right=728, width=434
y=745, rel_y=643, left=295, right=728, width=434
y=746, rel_y=644, left=295, right=728, width=434
y=747, rel_y=645, left=295, right=728, width=434
y=748, rel_y=646, left=295, right=728, width=434
y=749, rel_y=647, left=295, right=728, width=434
y=750, rel_y=648, left=295, right=728, width=434
y=751, rel_y=649, left=295, right=728, width=434
y=752, rel_y=650, left=295, right=728, width=434
y=753, rel_y=651, left=295, right=728, width=434
y=754, rel_y=652, left=295, right=728, width=434
y=755, rel_y=653, left=295, right=728, width=434
y=756, rel_y=654, left=295, right=728, width=434
y=757, rel_y=655, left=295, right=728, width=434
y=758, rel_y=656, left=364, right=659, width=296
y=759, rel_y=657, left=364, right=659, width=296
y=760, rel_y=658, left=364, right=659, width=296
y=761, rel_y=659, left=364, right=659, width=296
y=762, rel_y=660, left=364, right=659, width=296
y=763, rel_y=661, left=364, right=659, width=296
y=764, rel_y=662, left=364, right=659, width=296
y=765, rel_y=663, left=364, right=659, width=296
y=766, rel_y=664, left=364, right=659, width=296
y=767, rel_y=665, left=364, right=659, width=296
y=768, rel_y=666, left=364, right=659, width=296
y=769, rel_y=667, left=364, right=659, width=296
y=770, rel_y=668, left=364, right=659, width=296
y=771, rel_y=669, left=364, right=659, width=296
y=772, rel_y=670, left=364, right=659, width=296
y=773, rel_y=671, left=364, right=659, width=296
y=774, rel_y=672, left=364, right=659, width=296
y=775, rel_y=673, left=364, right=659, width=296
y=776, rel_y=674, left=364, right=659, width=296
y=777, rel_y=675, left=364, right=659, width=296
y=778, rel_y=676, left=364, right=659, width=296
y=779, rel_y=677, left=364, right=659, width=296
y=780, rel_y=678, left=364, right=659, width=296
y=781, rel_y=679, left=364, right=659, width=296
y=782, rel_y=680, left=364, right=659, width=296
y=783, rel_y=681, left=364, right=659, width=296
y=784, rel_y=682, left=364, right=659, width=296
y=785, rel_y=683, left=364, right=659, width=296
y=786, rel_y=684, left=364, right=659, width=296
y=787, rel_y=685, left=364, right=659, width=296
y=788, rel_y=686, left=364, right=659, width=296
y=789, rel_y=687, left=364, right=659, width=296
y=790, rel_y=688, left=364, right=659, width=296
y=791, rel_y=689, left=364, right=659, width=296
y=792, rel_y=690, left=364, right=659, width=296
y=793, rel_y=691, left=364, right=659, width=296
y=794, rel_y=692, left=364, right=659, width=296
y=795, rel_y=693, left=364, right=659, width=296
y=796, rel_y=694, left=364, right=659, width=296
y=797, rel_y=695, left=364, right=659, width=296
y=798, rel_y=696, left=364, right=659, width=296
y=799, rel_y=697, left=364, right=659, width=296
y=800, rel_y=698, left=364, right=659, width=296
y=801, rel_y=699, left=364, right=659, width=296
y=802, rel_y=700, left=364, right=659, width=296
y=803, rel_y=701, left=364, right=659, width=296
y=804, rel_y=702, left=364, right=659, width=296
y=805, rel_y=703, left=364, right=659, width=296
y=806, rel_y=704, left=364, right=659, width=296
y=807, rel_y=705, left=364, right=659, width=296
y=808, rel_y=706, left=364, right=659, width=296
y=809, rel_y=707, left=364, right=659, width=296
y=810, rel_y=708, left=364, right=659, width=296
y=811, rel_y=709, left=364, right=659, width=296
y=812, rel_y=710, left=364, right=659, width=296
y=813, rel_y=711, left=364, right=659, width=296
y=814, rel_y=712, left=364, right=659, width=296
y=815, rel_y=713, left=364, right=659, width=296
y=816, rel_y=714, left=364, right=659, width=296
y=817, rel_y=715, left=364, right=659, width=296
y=818, rel_y=716, left=364, right=659, width=296
y=819, rel_y=717, left=364, right=659, width=296
y=820, rel_y=718, left=364, right=659, width=296
y=821, rel_y=719, left=364, right=659, width=296
y=822, rel_y=720, left=364, right=659, width=296
y=823, rel_y=721, left=364, right=659, width=296
y=824, rel_y=722, left=364, right=659, width=296
y=825, rel_y=723, left=364, right=659, width=296
y=826, rel_y=724, left=364, right=659, width=296
y=827, rel_y=725, left=364, right=659, width=296
y=828, rel_y=726, left=364, right=659, width=296
y=829, rel_y=727, left=364, right=659, width=296
y=830, rel_y=728, left=364, right=659, width=296
y=831, rel_y=729, left=364, right=659, width=296
y=832, rel_y=730, left=364, right=659, width=296
y=833, rel_y=731, left=364, right=659, width=296
y=834, rel_y=732, left=364, right=659, width=296
y=835, rel_y=733, left=364, right=659, width=296
y=836, rel_y=734, left=364, right=659, width=296
y=837, rel_y=735, left=364, right=659, width=296
y=838, rel_y=736, left=364, right=659, width=296
y=839, rel_y=737, left=364, right=659, width=296
y=840, rel_y=738, left=364, right=659, width=296
y=841, rel_y=739, left=364, right=659, width=296
y=842, rel_y=740, left=364, right=659, width=296
y=843, rel_y=741, left=364, right=659, width=296
y=844, rel_y=742, left=364, right=659, width=296
y=845, rel_y=743, left=364, right=659, width=296
y=846, rel_y=744, left=364, right=659, width=296
y=847, rel_y=745, left=364, right=659, width=296
y=848, rel_y=746, left=364, right=659, width=296
y=849, rel_y=747, left=364, right=659, width=296
y=850, rel_y=748, left=364, right=659, width=296
y=851, rel_y=749, left=364, right=659, width=296
y=852, rel_y=750, left=364, right=659, width=296
y=853, rel_y=751, left=364, right=659, width=296
y=854, rel_y=752, left=364, right=659, width=296
y=855, rel_y=753, left=364, right=659, width=296
y=856, rel_y=754, left=364, right=659, width=296
y=857, rel_y=755, left=364, right=659, width=296
y=858, rel_y=756, left=364, right=659, width=296
y=859, rel_y=757, left=364, right=659, width=296
y=860, rel_y=758, left=364, right=659, width=296
y=861, rel_y=759, left=386, right=637, width=252
y=862, rel_y=760, left=386, right=637, width=252
y=863, rel_y=761, left=386, right=637, width=252
y=864, rel_y=762, left=386, right=637, width=252
y=865, rel_y=763, left=386, right=637, width=252
y=866, rel_y=764, left=386, right=637, width=252
y=867, rel_y=765, left=386, right=637, width=252
y=868, rel_y=766, left=386, right=637, width=252
y=869, rel_y=767, left=386, right=637, width=252
y=870, rel_y=768, left=386, right=637, width=252
y=871, rel_y=769, left=386, right=637, width=252
y=872, rel_y=770, left=386, right=637, width=252
y=873, rel_y=771, left=386, right=637, width=252
y=874, rel_y=772, left=386, right=637, width=252
y=875, rel_y=773, left=386, right=637, width=252
y=876, rel_y=774, left=386, right=637, width=252
y=877, rel_y=775, left=386, right=637, width=252
y=878, rel_y=776, left=386, right=637, width=252
y=879, rel_y=777, left=386, right=637, width=252
y=880, rel_y=778, left=386, right=637, width=252
